Zip	City	State	Region	District	Latitude (State Centre)	Lonitude (State Centre)2
16672	Riddlesburg, PA	PA	East	District #13	40.820048	-77.61733413
16673	Roaring Spring, PA	PA	East	District #13	40.820048	-77.61733413
16674	Robertsdale, PA	PA	East	District #13	40.820048	-77.61733413
16675	Saint Boniface, PA	PA	East	District #13	40.820048	-77.61733413
16678	Saxton, PA	PA	East	District #13	40.820048	-77.61733413
16679	Six Mile Run, PA	PA	East	District #13	40.820048	-77.61733413
16680	Smithmill, PA	PA	East	District #13	40.820048	-77.61733413
16681	Smokerun, PA	PA	East	District #13	40.820048	-77.61733413
16682	Sproul, PA	PA	East	District #13	40.820048	-77.61733413
16683	Spruce Creek, PA	PA	East	District #13	40.820048	-77.61733413
16684	Tipton, PA	PA	East	District #13	40.820048	-77.61733413
16685	Todd, PA	PA	East	District #13	40.820048	-77.61733413
16686	Tyrone, PA	PA	East	District #13	40.820048	-77.61733413
16692	Westover, PA	PA	East	District #13	40.820048	-77.61733413
16693	Williamsburg, PA	PA	East	District #13	40.820048	-77.61733413
16694	Wood, PA	PA	East	District #13	40.820048	-77.61733413
16695	Woodbury, PA	PA	East	District #13	40.820048	-77.61733413
16698	Houtzdale, PA	PA	East	District #13	40.820048	-77.61733413
16699	Cresson, PA	PA	East	District #13	40.820048	-77.61733413
16728	De Young, PA	PA	East	District #13	40.820048	-77.61733413
16734	James City, PA	PA	East	District #13	40.820048	-77.61733413
16735	Kane, PA	PA	East	District #13	40.820048	-77.61733413
16821	Allport, PA	PA	East	District #13	40.820048	-77.61733413
16825	Bigler, PA	PA	East	District #13	40.820048	-77.61733413
16830	Clearfield, PA	PA	East	District #13	40.820048	-77.61733413
16833	Curwensville, PA	PA	East	District #13	40.820048	-77.61733413
16834	Drifting, PA	PA	East	District #13	40.820048	-77.61733413
16836	Frenchville, PA	PA	East	District #13	40.820048	-77.61733413
16837	Glen Richey, PA	PA	East	District #13	40.820048	-77.61733413
16838	Grampian, PA	PA	East	District #13	40.820048	-77.61733413
16839	Grassflat, PA	PA	East	District #13	40.820048	-77.61733413
16840	Hawk Run, PA	PA	East	District #13	40.820048	-77.61733413
16843	Hyde, PA	PA	East	District #13	40.820048	-77.61733413
16845	Karthaus, PA	PA	East	District #13	40.820048	-77.61733413
16847	Kylertown, PA	PA	East	District #13	40.820048	-77.61733413
16849	Lanse, PA	PA	East	District #13	40.820048	-77.61733413
16850	Lecontes Mills, PA	PA	East	District #13	40.820048	-77.61733413
16855	Mineral Springs, PA	PA	East	District #13	40.820048	-77.61733413
16858	Morrisdale, PA	PA	East	District #13	40.820048	-77.61733413
